"idx","tic","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","MarketCap1","X1","X2","X3","X4","X5","X6","score","tic.y"
1255,"reg","Regency Centers Corporation",79.6,"$8.32B",1993,"Consumer Services","Real Estate Investment Trusts","NYSE",8320,-0.01,0,0,0.73,0.75,0.77,-2.10345969246994,"reg"
1306,"save","Spirit Airlines, Inc.",39.28,"$2.75B",2011,"Transportation","Air Freight/Delivery Services","NASDAQ",2750,-0.01,0,0,0.65,0.72,0.82,-2.10832284151625,"save"
1256,"regn","Regeneron Pharmaceuticals, Inc.",402.97,"$42.43B",1991,"Health Care","Major Pharmaceuticals","NASDAQ",42430,0.01,-0.01,-0.01,0.82,0.86,0.8,-2.11540115876775,"regn"
672,"gt","The Goodyear Tire & Rubber Company",29.01,"$7.61B",2000,"Consumer Durables","Automotive Aftermarket","NASDAQ",7610,-0.01,0,0,0.68,0.7,0.82,-2.11881897110805,"gt"
1104,"odp","Office Depot, Inc.",3.65,"$1.99B",2000,"Consumer Services","Other Specialty Stores","NASDAQ",1990,0.01,0.01,-0.02,0.71,0.76,0.84,-2.12369163832772,"odp"
92,"amsg","Amsurg Corp.",63.6,"$3.49B",2000,"Health Care","Medical/Nursing Services","NASDAQ",3490,0.01,-0.01,-0.01,0.8,0.75,0.88,-2.12951042833827,"amsg"
1677,"xrs","TAL Education Group",61.01,"$4.93B",2010,"Consumer Services","Other Consumer Services","NYSE",4930,-0.02,-0.01,0.01,0.67,0.76,0.83,-2.13514129181717,"xrs"
1049,"ngvt","Ingevity Corporation",43.4,"$1.83B",2016,"Basic Industries","Major Chemicals","NYSE",1830,0.01,0.01,-0.02,0.5,0.8,0.89,-2.13550128486632,"ngvt"
247,"cake","The Cheesecake Factory Incorporated",52.31,"$2.52B",1992,"Consumer Services","Restaurants","NASDAQ",2520,-0.01,0,0,0.91,0.61,0.79,-2.13763382062509,"cake"
315,"clh","Clean Harbors, Inc.",48.32,"$2.78B",2000,"Basic Industries","Environmental Services","NYSE",2780,0,-0.01,0,1,0.73,0.69,-2.14307367881919,"clh"
631,"ggg","Graco Inc.",75.28,"$4.19B",2000,"Capital Goods","Fluid Controls","NYSE",4190,0,0,0,0.47,0.71,0.73,-2.14396310430413,"ggg"
1363,"slgn","Silgan Holdings Inc.",47.66,"$2.88B",1997,"Consumer Durables","Containers/Packaging","NASDAQ",2880,-0.01,0,0,0.5,0.66,0.91,-2.1464351193153,"slgn"
879,"lgf","Lions Gate Entertainment Corporation",21.12,"$3.12B",2000,"Consumer Services","Movies/Entertainment","NYSE",3120,0,0,0,0.88,0.67,0.6,-2.14956313031173,"lgf"
